epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11699.5,0.58345,0.44007,1.0657,0.97785,0.98615,0.99262,0.8889,0.53362,0.28611,1.08486,0.000244847,0.000244847,0.000244847
43,11957.7,0.59372,0.44102,1.06874,0.98072,0.98641,0.99221,0.88756,0.5361,0.28559,1.08427,0.000241795,0.000241795,0.000241795
44,12234.6,0.57867,0.44124,1.07016,0.98235,0.98616,0.99186,0.88982,0.52308,0.28828,1.07656,0.000238742,0.000238742,0.000238742
45,12517.6,0.56994,0.43413,1.05666,0.98315,0.97517,0.99262,0.89538,0.51022,0.27793,1.06539,0.00023569,0.00023569,0.00023569
46,12782,0.56023,0.42291,1.04987,0.9861,0.98574,0.99323,0.90397,0.4927,0.26525,1.06712,0.000232638,0.000232638,0.000232638
47,13074.7,0.56989,0.42506,1.05721,0.98944,0.99207,0.99429,0.89051,0.51615,0.26223,1.07662,0.000229585,0.000229585,0.000229585
48,13344,0.5603,0.42139,1.04739,0.99131,0.98565,0.99379,0.89552,0.51669,0.2655,1.07406,0.000226533,0.000226533,0.000226533
49,13620.1,0.55042,0.42623,1.04317,0.98604,0.98713,0.99387,0.89638,0.51623,0.26981,1.07561,0.00022348,0.00022348,0.00022348
50,13896.5,0.54936,0.40749,1.04021,0.98398,0.98712,0.99259,0.89405,0.51854,0.26913,1.0897,0.000220427,0.000220427,0.000220427
51,14174.2,0.54714,0.39995,1.04522,0.98834,0.9895,0.99192,0.89199,0.51685,0.26177,1.09258,0.000217375,0.000217375,0.000217375
52,14464.5,0.54452,0.40502,1.0423,0.98215,0.98977,0.99318,0.89031,0.53563,0.26567,1.09194,0.000214322,0.000214322,0.000214322
53,14743.9,0.53515,0.40095,1.03366,0.98639,0.98765,0.99284,0.89983,0.50924,0.26374,1.08058,0.00021127,0.00021127,0.00021127
54,15016.5,0.538,0.39096,1.04229,0.98255,0.99202,0.99336,0.90294,0.5009,0.25054,1.07477,0.000208217,0.000208217,0.000208217
55,15293.6,0.53162,0.40166,1.03346,0.98351,0.99412,0.99361,0.90434,0.50074,0.25314,1.06681,0.000205165,0.000205165,0.000205165
56,15574.7,0.53434,0.40625,1.03451,0.98798,0.98634,0.99374,0.90249,0.48969,0.25462,1.06126,0.000202113,0.000202113,0.000202113
57,15863.3,0.52743,0.394,1.02225,0.99125,0.9917,0.99331,0.90375,0.49789,0.24739,1.06566,0.00019906,0.00019906,0.00019906
58,16144.1,0.5204,0.39394,1.02843,0.98878,0.99166,0.99446,0.90386,0.50065,0.24413,1.08301,0.000196008,0.000196008,0.000196008
59,16434.4,0.5215,0.38573,1.03178,0.98938,0.98979,0.99332,0.91136,0.4766,0.24586,1.05204,0.000192955,0.000192955,0.000192955
60,16718.8,0.51324,0.38206,1.01918,0.98776,0.98646,0.99422,0.9012,0.49328,0.24975,1.07814,0.000189902,0.000189902,0.000189902
61,16980.3,0.5196,0.38416,1.02679,0.98592,0.98685,0.99431,0.90347,0.50507,0.24884,1.08071,0.00018685,0.00018685,0.00018685
62,17261.2,0.50913,0.37919,1.02112,0.99005,0.99261,0.99341,0.90983,0.48243,0.24445,1.06057,0.000183798,0.000183798,0.000183798
63,17522.9,0.51134,0.38222,1.01745,0.98951,0.99166,0.99346,0.9107,0.48461,0.24516,1.06073,0.000180745,0.000180745,0.000180745
64,17801.7,0.50283,0.37545,1.01611,0.98469,0.99217,0.99399,0.91805,0.45883,0.2349,1.03842,0.000177692,0.000177692,0.000177692
65,18084.6,0.49077,0.37195,1.01104,0.99037,0.99034,0.99382,0.9185,0.46586,0.23376,1.04291,0.00017464,0.00017464,0.00017464
66,18371.4,0.49071,0.36829,1.00409,0.98875,0.99136,0.99275,0.91226,0.478,0.23845,1.05274,0.000171588,0.000171588,0.000171588
67,18639.5,0.49597,0.36677,1.0169,0.98782,0.99208,0.99378,0.92115,0.45371,0.23356,1.04067,0.000168535,0.000168535,0.000168535
68,18923.8,0.48174,0.36112,1.00585,0.9897,0.99136,0.99328,0.91618,0.46783,0.2375,1.0495,0.000165482,0.000165482,0.000165482
69,19174.2,0.49147,0.37097,1.00866,0.99049,0.99228,0.99386,0.91151,0.46772,0.2307,1.05459,0.00016243,0.00016243,0.00016243
70,19466.2,0.48626,0.36127,1.00433,0.98967,0.98888,0.99327,0.91957,0.45839,0.23883,1.03727,0.000159377,0.000159377,0.000159377
71,19744.2,0.46614,0.34332,0.9957,0.9879,0.98415,0.99403,0.91416,0.4718,0.23221,1.05314,0.000156325,0.000156325,0.000156325
72,20016.9,0.48403,0.36891,1.00889,0.98501,0.99217,0.99363,0.9188,0.45799,0.22953,1.04859,0.000153273,0.000153273,0.000153273
73,20298.7,0.4665,0.34375,0.99099,0.98465,0.98432,0.99369,0.91901,0.45765,0.23386,1.04605,0.00015022,0.00015022,0.00015022
74,20578.9,0.46242,0.34443,0.99486,0.98808,0.98865,0.99413,0.91909,0.45873,0.22853,1.04898,0.000147168,0.000147168,0.000147168
75,20842.7,0.45603,0.34456,0.99036,0.98751,0.98788,0.99371,0.91718,0.46573,0.22987,1.04801,0.000144115,0.000144115,0.000144115
76,21097.1,0.45909,0.34216,0.99525,0.98535,0.98576,0.9924,0.91963,0.44833,0.23527,1.03341,0.000141062,0.000141062,0.000141062
77,21383.9,0.44988,0.33582,0.97832,0.9878,0.98918,0.99195,0.9182,0.4523,0.23908,1.04085,0.00013801,0.00013801,0.00013801
78,21665.7,0.45317,0.34473,0.98297,0.98807,0.98779,0.99264,0.9192,0.44667,0.23041,1.03756,0.000134957,0.000134957,0.000134957
79,21939.6,0.45355,0.33855,0.98114,0.98613,0.98303,0.99287,0.92338,0.4506,0.22986,1.04141,0.000131905,0.000131905,0.000131905
80,22219,0.45246,0.33717,0.98533,0.98906,0.9893,0.99376,0.92428,0.4413,0.22539,1.02921,0.000128853,0.000128853,0.000128853
81,22497.8,0.44007,0.32897,0.97212,0.99009,0.9878,0.99425,0.92073,0.44466,0.22441,1.03516,0.0001258,0.0001258,0.0001258
82,22783,0.43319,0.32891,0.97426,0.98913,0.98917,0.99469,0.92561,0.43827,0.22063,1.02967,0.000122747,0.000122747,0.000122747
83,23041.3,0.42763,0.31731,0.96689,0.98813,0.98941,0.99454,0.92508,0.44038,0.22091,1.02417,0.000119695,0.000119695,0.000119695
84,23326.3,0.43802,0.33347,0.97896,0.9881,0.99107,0.99424,0.92918,0.43284,0.21751,1.0214,0.000116643,0.000116643,0.000116643
85,23586.4,0.43263,0.32628,0.97339,0.99007,0.98678,0.99471,0.92683,0.44236,0.21633,1.02801,0.00011359,0.00011359,0.00011359
86,23852.6,0.43371,0.32301,0.96887,0.99008,0.98877,0.99384,0.92534,0.44712,0.21865,1.03745,0.000110537,0.000110537,0.000110537
87,24121.4,0.42455,0.31558,0.97186,0.99032,0.99288,0.99424,0.92453,0.4391,0.21364,1.02946,0.000107485,0.000107485,0.000107485
88,24403.9,0.41865,0.30851,0.96244,0.98849,0.9931,0.99421,0.92907,0.43317,0.21197,1.02839,0.000104433,0.000104433,0.000104433
89,24660.4,0.41802,0.30995,0.95786,0.98708,0.9916,0.99355,0.92729,0.42442,0.21207,1.02315,0.00010138,0.00010138,0.00010138
90,24920.8,0.41916,0.30365,0.96774,0.99145,0.9909,0.99425,0.93251,0.42041,0.20793,1.01954,9.83275e-05,9.83275e-05,9.83275e-05
91,25203.7,0.40987,0.29941,0.9561,0.98786,0.98881,0.99396,0.9308,0.43074,0.21352,1.02507,9.5275e-05,9.5275e-05,9.5275e-05
92,25497.3,0.41318,0.30786,0.95863,0.98951,0.98737,0.9945,0.9321,0.42997,0.21155,1.0278,9.22225e-05,9.22225e-05,9.22225e-05
93,25787.1,0.40955,0.30576,0.96014,0.98813,0.98901,0.99415,0.93082,0.42442,0.20855,1.02415,8.917e-05,8.917e-05,8.917e-05
94,26056.6,0.40233,0.30095,0.95123,0.98696,0.98612,0.99379,0.93427,0.41551,0.20955,1.01615,8.61175e-05,8.61175e-05,8.61175e-05
95,26322.7,0.40265,0.29354,0.9548,0.98318,0.99215,0.99372,0.93449,0.41997,0.20859,1.01647,8.3065e-05,8.3065e-05,8.3065e-05
96,26603.3,0.39658,0.2944,0.95349,0.98521,0.99545,0.99397,0.93412,0.41918,0.20663,1.0151,8.00125e-05,8.00125e-05,8.00125e-05
97,26876.4,0.39655,0.29868,0.95219,0.9858,0.99499,0.99415,0.93685,0.41149,0.20373,1.01389,7.696e-05,7.696e-05,7.696e-05
98,27161.1,0.39475,0.2886,0.95216,0.99055,0.99073,0.99429,0.9358,0.41501,0.20719,1.01331,7.39075e-05,7.39075e-05,7.39075e-05
99,27433.4,0.38312,0.28079,0.9404,0.98988,0.98944,0.99441,0.93788,0.41571,0.20544,1.0215,7.0855e-05,7.0855e-05,7.0855e-05
100,27698,0.39875,0.2899,0.95328,0.99013,0.98938,0.99427,0.93842,0.4141,0.2039,1.01443,6.78025e-05,6.78025e-05,6.78025e-05
101,27965.9,0.38717,0.28688,0.94513,0.98829,0.99187,0.99413,0.93959,0.41056,0.20085,1.01394,6.475e-05,6.475e-05,6.475e-05
102,28220.8,0.37971,0.28295,0.93631,0.98743,0.99181,0.99419,0.94207,0.3962,0.19783,1.00215,6.16975e-05,6.16975e-05,6.16975e-05
103,28487.7,0.38024,0.28178,0.94488,0.98946,0.99232,0.99445,0.94115,0.40808,0.20043,1.00815,5.8645e-05,5.8645e-05,5.8645e-05
104,28759.1,0.37874,0.2854,0.9473,0.98957,0.99286,0.99469,0.94113,0.40687,0.20059,1.00517,5.55925e-05,5.55925e-05,5.55925e-05
105,29023.3,0.36942,0.27662,0.93063,0.98502,0.99372,0.99463,0.94018,0.40988,0.201,1.00375,5.254e-05,5.254e-05,5.254e-05
106,29303.5,0.3796,0.29043,0.93752,0.98864,0.98858,0.99446,0.94056,0.40102,0.20063,1.00276,4.94875e-05,4.94875e-05,4.94875e-05
