epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3519.09,0.49119,0.39342,0.97149,0.95514,0.93822,0.995,0.89659,0.50674,0.36005,0.99455,0.000244847,0.000244847,0.000244847
43,3599.36,0.4712,0.38743,0.95056,0.95303,0.96651,0.99401,0.90005,0.50634,0.34257,0.98885,0.000241795,0.000241795,0.000241795
44,3688.02,0.48387,0.38617,0.96979,0.95402,0.96549,0.98943,0.90653,0.45063,0.33369,0.96212,0.000238742,0.000238742,0.000238742
45,3772.33,0.46669,0.37085,0.95768,0.96396,0.97706,0.99401,0.90245,0.4767,0.31382,0.98116,0.00023569,0.00023569,0.00023569
46,3869.65,0.44447,0.34778,0.94319,0.94549,0.9826,0.995,0.91627,0.44581,0.30377,0.95993,0.000232638,0.000232638,0.000232638
47,3950.15,0.46374,0.36327,0.95408,0.95954,0.96764,0.99084,0.91597,0.44063,0.3133,0.95675,0.000229585,0.000229585,0.000229585
48,4040.59,0.45557,0.37803,0.95689,0.9495,0.97481,0.995,0.9061,0.45375,0.30119,0.95733,0.000226533,0.000226533,0.000226533
49,4125.1,0.45016,0.36069,0.9418,0.9668,0.97957,0.995,0.91195,0.47534,0.29407,0.97414,0.00022348,0.00022348,0.00022348
50,4206.35,0.44237,0.34673,0.93594,0.97299,0.97947,0.995,0.90686,0.45978,0.28749,0.96898,0.000220427,0.000220427,0.000220427
51,4287.27,0.43542,0.36392,0.94495,0.97072,0.98153,0.99401,0.91057,0.45406,0.28238,0.95586,0.000217375,0.000217375,0.000217375
52,4380.63,0.4448,0.34714,0.95169,0.97415,0.98516,0.995,0.90321,0.45914,0.29641,0.9575,0.000214322,0.000214322,0.000214322
53,4468.42,0.43394,0.34799,0.93356,0.97787,0.9755,0.99401,0.90966,0.46263,0.30494,0.96281,0.00021127,0.00021127,0.00021127
54,4558.64,0.43974,0.34256,0.93832,0.97286,0.9617,0.99401,0.91078,0.45586,0.30878,0.95623,0.000208217,0.000208217,0.000208217
55,4641.03,0.43248,0.35701,0.93143,0.95674,0.97577,0.99401,0.92155,0.43545,0.30925,0.94103,0.000205165,0.000205165,0.000205165
56,4722.36,0.4314,0.3419,0.93305,0.9714,0.9735,0.99401,0.91302,0.43797,0.28154,0.94315,0.000202113,0.000202113,0.000202113
57,4800.07,0.41899,0.34365,0.92627,0.97293,0.98199,0.99401,0.91989,0.42166,0.27546,0.93674,0.00019906,0.00019906,0.00019906
58,4880.74,0.42591,0.32845,0.93715,0.96577,0.98127,0.995,0.9141,0.4426,0.28674,0.95688,0.000196008,0.000196008,0.000196008
59,4961.49,0.41084,0.31177,0.92972,0.94375,0.97318,0.995,0.9174,0.42161,0.27981,0.94953,0.000192955,0.000192955,0.000192955
60,5052,0.39548,0.29996,0.92034,0.91073,0.97173,0.99401,0.91131,0.43669,0.29971,0.94225,0.000189902,0.000189902,0.000189902
61,5129.04,0.39516,0.31336,0.91432,0.97343,0.97763,0.99326,0.91636,0.44391,0.27155,0.95916,0.00018685,0.00018685,0.00018685
62,5222.45,0.39829,0.30376,0.91314,0.96249,0.99075,0.99401,0.91068,0.47722,0.29161,0.97006,0.000183798,0.000183798,0.000183798
63,5299.84,0.42987,0.31719,0.93029,0.96984,0.98589,0.99184,0.91806,0.43327,0.26143,0.94529,0.000180745,0.000180745,0.000180745
64,5386.13,0.39103,0.30246,0.90978,0.96888,0.95788,0.98903,0.91436,0.44415,0.28126,0.96435,0.000177692,0.000177692,0.000177692
65,5470.41,0.40607,0.3097,0.92865,0.94896,0.98536,0.99301,0.9175,0.44291,0.27176,0.94462,0.00017464,0.00017464,0.00017464
66,5563.29,0.40511,0.31592,0.91807,0.95407,0.96473,0.99326,0.91922,0.435,0.27375,0.95742,0.000171588,0.000171588,0.000171588
67,5651.61,0.39953,0.30888,0.92082,0.97184,0.97658,0.99202,0.92718,0.41787,0.26654,0.93977,0.000168535,0.000168535,0.000168535
68,5738.59,0.39158,0.29832,0.90815,0.97125,0.97159,0.98551,0.90925,0.43926,0.27262,0.94613,0.000165482,0.000165482,0.000165482
